site,family,species,species_code,life_form,wsg,wsg_id,wsg_specificity,a,b,c,d,dbh_min_cm,dbh_max_cm,sample_size,dbh_units_original,biomass_units_original,allometry_development_method,site_dbh_unit,equation_id,equation_form,equation_allometry,equation_grouping,independent_variable,regression_model,other_equations_tested,log_biomass,bias_corrected,bias_correction_factor,notes_fitting_model,dependent_variable_biomass_component,allometry_specificity,development_species,geographic_area,biomass_equation_source,ref_id,wsg_source,ref_wsg_id,original_data_availability,notes_to_consider,warning
SERC,Platanaceae,Platanus occidentalis,PLOC,Tree,0.46,,,1.57573,1.29005,,,4.83,23.88,,in,lb,harvest,mm,,a*(DBH^2)^b,1.57573*(dbh^2)^1.29005,E,DBH,,,,1,included in model,,Whole tree (above stump),Species,,Piedmont (Southeastern U.S.),Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Platanaceae,Platanus occidentalis,PLOC,Tree,0.46,,,2.51502,1.19256,,,24.94,49.53,,in,lb,harvest,mm,,a*(DBH^2)^b,2.51502*(dbh^2)^1.19256,E,DBH,,,,1,included in model,,Whole tree (above stump),Species,,Piedmont (Southeastern U.S.),Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Salicaceae,Populus grandidentata,POGR4,Tree,0.36,,,1.2696,1.3889,2,,0.68,7.49,,cm,g,harvest,mm,,10^(a+b*(log10(DBH^c))),10^(1.2696+1.3889*(log10(dbh^2))),E,DBH,,,,1,1.012,,Total aboveground biomass,Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Rosaceae,Prunus avium,PRAV,Tree,0.47,,,1.1981,1.5876,,,0.37,6.83,,cm,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(1.1981+1.5876*(log10(dbh))),E,DBH,,,,1,1.017,,Total aboveground biomass,Species,Prunus serotina,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Rosaceae,Prunus serotina,PRSE2,Tree,0.47,,,1.1981,1.5876,,,0.37,6.83,,cm,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(1.1981+1.5876*(log10(dbh))),E,DBH,,,,1,1.017,,Total aboveground biomass,Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fagaceae,Quercus alba,QUAL,Tree,0.6,,,-1.266,2.613,,,7,63,10,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.266+2.613*(log10(dbh))),E,DBH,,,,1,included in model,,Total aboveground biomass,Species,,North Carolina,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fagaceae,Quercus coccinea,QUCO2,Tree,0.6,,,-1.283,2.685,,,15,43.3,,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.283+2.685*(log10(dbh))),E,DBH,,,,1,1.003,,Total aboveground biomass,Species,,North Carolina,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fagaceae,Quercus falcata,QUFA,Tree,0.52,,,2.30252,1.25795,,,5.84,25.4,,in,lb,harvest,mm,,a*(DBH^2)^b,2.30252*(dbh^2)^1.25795,E,DBH,,,,1,included in model,,Whole tree (above stump),Species,,Piedmont (Southeastern U.S.),Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fagaceae,Quercus falcata,QUFA,Tree,0.52,,,2.23731,1.26394,,,27.94,47.75,,in,lb,harvest,mm,,a*(DBH^2)^b,2.23731*(dbh^2)^1.26394,E,DBH,,,,1,included in model,,Whole tree (above stump),Species,,Piedmont (Southeastern U.S.),Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fagaceae,Quercus michauxii,QUMI,Tree,0.6,,,1.5509,2.7276,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),1.5509*(dbh^2.7276),E,DBH,,,,1,included in model,,Stem and branches (live),Species,Quercus prinus,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fagaceae,Quercus montana,QUMO4,Tree,0.57,,,-1.587,2.91,,,10.6,57.5,,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.587+2.91*(log10(dbh))),E,DBH,,,,1,1.013,,Total aboveground biomass,Species,,North Carolina,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fagaceae,Quercus palustris,QUPA2,Tree,0.58,,,4.9967,2.3944,,,2.5,55,,cm,g,harvest,mm,,exp(a+b*ln(DBH)),exp(4.9967+2.3944*log(dbh)),E,DBH,,,,0,NA,,Total aboveground biomass,Species,Quercus rubra,Eastern U.S.,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fagaceae,Quercus rubra,QURU,Tree,0.56,,,4.9967,2.3944,,,2.5,55,,cm,g,harvest,mm,,exp(a+b*ln(DBH)),exp(4.9967+2.3944*log(dbh)),E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Eastern U.S.,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fagaceae,Quercus sp.,QUERC,Tree,0.59,,,-2.0705,2.441,,,3,89,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.0705+2.441*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Fagaceae,Quercus stellata,QUST,Tree,0.6,,,2.23,1.2153,,,3.3,11.94,,in,lb,harvest,mm,,a*(DBH^2)^b,2.23*(dbh^2)^1.2153,E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Southeast U.S.,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Fagaceae,Quercus velutina,QUVE,Tree,0.56,,species,-0.34052,2.65803,,,7.62,30.48,26,in,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-0.34052+2.65803*log(dbh)),E,DBH,"linear, multiple and stepwise",,0,0,NA,"Linear regressions for species were tested for differences in slope and level according to Freese (1967) . Differences were found to be not significant, and data were combined to produce a single regression applicable to all species.",Whole tree (above stump),Species,,Rhode Island,Bridge 1979,,"Clark and Schroeder, 1986",,,,
SERC,Fagaceae,Quercus velutina,QUVE,Tree,0.56,,species,1.00005,2.10621,,,30.48,88.9,26,in,lb,harvest,mm,,10^(a+b*(log10(DBH))),10^(1.00005+2.10621*(log10(dbh))),E,DBH,linear,,1,0,NRA,,Whole tree (above and belowground),Species,,"North Carolina, Kentucky, Tennessee",Jenkins et al. 2004,,"Clark and Schroeder, 1986",,0,Unable to locate orignal publication,No specific location of sampled trees is given in publication. Geographic area may be too broad.
SERC,Ericaceae,Rhododendron arborescens,RHAR3,Shrub,0.5,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Anacardiaceae,Rhus typhina,RHTY,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Rosaceae,Rosa multiflora,ROMU,Shrub,NRA,,,37.637,2.779,,,0.2,1.2,32,cm,g,harvest,mm,,a*(DBA^b),37.637*(dba^2.779),E,DBA,,,,1,included in model,,Total aboveground biomass,Genus,,Idaho/Montana,Smith et al. 1983,,NA,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SERC,Salicaceae,Salix nigra,SANI,Shrub,0.36,,,-2.4441,2.4561,,,3,70,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.4441+2.4561*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Adoxaceae,Sambucus nigra,SANIC4,Shrub,0.5,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Lauraceae,Sassafras albidum,SAAL5,Tree,0.42,,,1.3539,1.3412,2,,0.4,8.49,41,cm,g,harvest,mm,,10^(a+b*(log10(DBH^c))),10^(1.3539+1.3412*(log10(dbh^2))),E,DBH,linear,,1,1,1.004,,Whole tree (above stump),Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,Equation built for seedlings and saplings
SERC,Malvaceae,Tilia americana,TIAM,Tree,0.32,,,4.72,2.17,1,,1.6,10,,cm,g,harvest,mm,,a+(b*DBH),4.72+(2.17*dbh),E,DBH,,,,0,NA,,Stem and branches (live),Species,,New Hampshire,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Ulmaceae,Ulmus americana,ULAM,Tree,0.46,,,2.17565,1.2481,,,2.54,27.43,,in^2,lb,harvest,mm,,a*(DBH^2)^b,2.17565*(dbh^2)^1.2481,E,DBH,,,,1,included in model,,Whole tree (above stump),Genus,,Piedmont (Southeastern U.S.),Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Ulmaceae,Ulmus rubra,ULRU,Tree,0.48,,,2.04282,1.25462,,,2.54,27.43,,in,lb,harvest,mm,,a*(DBH^2)^b,2.04282*(dbh^2)^1.25462,E,DBH,,,,1,included in model,,Stem and branches (live),Genus,,Piedmont (Southeastern U.S.),Jenkins et al. 2004,,Jenkins et al. 2004,,,,
SERC,Ericaceae,Vaccinium corymbosum,VACO,Shrub,0.47,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Ericaceae,Vaccinium sp.,VACCI,Shrub,0.47,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
SERC,Adoxaceae,Viburnum acerifolium,VIAC,Shrub,0.83,,,29.615,3.243,,,0.28,1.59,19,cm,g,harvest,mm,,a*(DBA^b),29.615*(dba^3.243),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,Virburnum lantanoides,Canada,Smith et al. 1983,,US report,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SERC,Adoxaceae,Viburnum dentatum,VIDE,Shrub,0.83,,,29.615,3.243,,,0.28,1.59,19,cm,g,harvest,mm,,a*(DBA^b),29.615*(dba^3.243),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,Virburnum lantanoides,Canada,Smith et al. 1983,,US report,,,DBA= stem basal diameter,Make sure to use shrub function in this package
SERC,Adoxaceae,Viburnum prunifolium,VIPR,Shrub,0.83,,,29.615,3.243,,,0.28,1.59,19,cm,g,harvest,mm,,a*(DBA^b),29.615*(dba^3.243),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,Virburnum lantanoides,Canada,Smith et al. 1983,,US report,,,DBA= stem basal diameter,Make sure to use shrub function in this package
Tyson,Sapindaceae,Acer negundo,aceneg,Tree,0.44,,,-2.047,2.3852,,,3,66,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.047+2.3852*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
Tyson,Sapindaceae,Acer rubrum,acerub,Tree,0.49,,,1.1891,1.419,2,,0.21,5.73,,cm,g,harvest,cm,,10^(a+b*(log10(DBH^c))),10^(1.1891+1.419*(log10(dbh^2))),E,DBH,,,,1,1.056,,Total aboveground biomass,Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Sapindaceae,Acer saccharum,acesac,Tree,0.56,,,1.2315,1.6376,2,,0.19,3.86,,cm,g,harvest,cm,,10^(a+b*(log10(DBH^c))),10^(1.2315+1.6376*(log10(dbh^2))),E,DBH,,,,1,1.016,,Total aboveground biomass,Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Simaroubaceae,Ailanthus altissima,ailalt,Tree,0.33,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Rosaceae,Amelanchier arborea,amearb,Tree,0.66,,,7.217,1.514,,,8.9,25.4,,cm,g,harvest,cm,,exp(a+b*ln(DBH)),exp(7.217+1.514*log(dbh)),E,DBH,,,,1,included in model,,Stem biomass (with bark),Genus,,Tennessee,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Rosaceae,Amelanchier arborea,amearb,Tree,0.66,,,2.5368,1.3197,,,5,45,,in,g,harvest,cm,,10^(a+b*(log10(DBH))),10^(2.5368+1.3197*(log10(dbh))),E,DBH,,,,0,NA,,"Branches (live, dead)",Genus,,Minessota,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Rosaceae,Amelanchier arborea,amearb,Tree,0.66,,,2.0865,0.9449,,,5,45,,in,g,harvest,cm,,10^(a+b*(log10(DBH))),10^(2.0865+0.9449*(log10(dbh))),E,DBH,,,,0,NA,,Foliage total,Genus,,Minessota,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Annonaceae,Asimina triloba,asitri,Tree,0.47,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Juglandaceae,Carya cordiformis,carcor,Tree,0.6,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,cm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
Tyson,Juglandaceae,Carya glabra,cargla,Tree,0.66,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,cm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
Tyson,Juglandaceae,Carya ovata,carova,Tree,0.62,,,2.034,2.6349,,,5.08,50.8,,in,lb,harvest,cm,,a*(DBH^b),2.034*(dbh^2.6349),E,DBH,,,,1,0,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Juglandaceae,Carya sp.,carsp,Tree,0.62,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,cm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
Tyson,Juglandaceae,Carya texana,cartex,Tree,0.54,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,cm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
Tyson,Juglandaceae,Carya tomentosa,cartom,Tree,0.64,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,cm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
Tyson,Cannabaceae,Celtis occidentalis,celocc,Tree,0.49,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Cannabaceae,Celtis tenuifolia,celten,Tree,0.49,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Fabaceae,Cercis canadensis,cercan,Tree,0.63,,,-2.5095,2.5437,,,4,42,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.5095+2.5437*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
Tyson,Cornaceae,Cornus drummondii,cordru,Tree,0.64,,,5.67,1.97,1,,1.85,7.25,,cm,g,harvest,cm,,exp(a+b*DBH+c*(ln(DBH))),exp(5.67+1.97*dbh+1*log(dbh)),E,DBH,,,,0,NA,,Total aboveground biomass,Species,Cornus florida,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Cornaceae,Cornus florida,corflo,Tree,0.64,,,5.67,1.97,1,,1.85,7.25,,cm,g,harvest,cm,,exp(a+b*DBH+c*(ln(DBH))),exp(5.67+1.97*dbh+1*log(dbh)),E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Rosaceae,Crataegus sp.,crasp,Shrub,0.62,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
Tyson,Ebenaceae,Diospyros virginiana,diovir,Tree,0.64,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Rhamnaceae,Frangula caroliniana,fracar,Tree,0.54,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,US report,,,,
Tyson,Oleaceae,Fraxinus americana,fraame,Tree,0.51,,,3.203,-0.234,0.006,2,25,550,32,mm,kg,harvest,cm,,a+(b*DBH)+c*(DBH^d),3.203+(-0.234*dbh)+0.006*(dbh^2),E,DBH,,,,0,NA,,Whole tree (above stump),Species,,New York,Jenkins et al. 2004,,Jenkins et al. 2004,,0,Unable to locate orignal publication,
Tyson,Oleaceae,Fraxinus americana,fraame,Tree,0.51,,,1.2784,1.4248,2,,0.5,6.14,40,cm,g,harvest,cm,,10^(a+b*(log10(DBH^c))),10^(1.2784+1.4248*(log10(dbh^2))),E,DBH,,,,1,1.015,,Whole tree (above stump),Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Fabaceae,Gleditsia triacanthos,gletri,Tree,0.6,,,-2.5095,2.5437,,,4,42,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.5095+2.5437*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
Tyson,Juglandaceae,Juglans nigra,jugnig,Tree,0.51,,,-2.5095,2.5437,,,4,42,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.5095+2.5437*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
Tyson,Cupressaceae,Juniperus virginiana,junvir,Tree,0.44,,,0.1632,2.2454,,,14,43,,cm,kg,harvest,cm,,a*(DBH^b),0.1632*(dbh^2.2454),E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Tennessee,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Lauraceae,Lindera benzoin,linben,Shrub,0.5,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
Tyson,Caprifoliaceae,Lonicera maackii,lonmaa,Shrub,NRA,,,51.996,2.77,,,0.12,0.69,20,cm,g,harvest,cm,,a*(DBA^b),51.996*(dba^2.77),E,DBA,,,,1,included in model,,Total aboveground biomass,Species,Lonicera canadensis,Canada,Smith et al. 1983,,NA,,,DBA= stem basal diameter,Make sure to use shrub function in this package
Tyson,Rosaceae,Malus ioensis,malioe,Shrub,0.61,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
Tyson,Moraceae,Morus rubra,morrub,Tree,0.59,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,cm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Betulaceae,Ostrya virginiana,ostvir,Tree,0.63,,,4.97,2.34,1,,1,9,,cm,g,harvest,cm,,exp(a+b*DBH+c*(ln(DBH))),exp(4.97+2.34*dbh+1*log(dbh)),E,DBH,,,,1,0,,Stem and branches (live),Species,,New Hampshire,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Betulaceae,Ostrya virginiana,ostvir,Tree,0.63,,,1.92,1.86,1,,1,9,,cm,g,harvest,cm,,exp(a+b*DBH+c*(ln(DBH))),exp(1.92+1.86*dbh+1*log(dbh)),E,DBH,,,,1,0,,Foliage total,Species,,New Hampshire,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Platanaceae,Platanus occidentalis,plaocc,Tree,0.46,,,2.51502,1.19256,,,24.94,49.53,,in,lb,harvest,cm,,a*(DBH^2)^b,2.51502*(dbh^2)^1.19256,E,DBH,,,,1,included in model,,Whole tree (above stump),Species,,Piedmont (Southeastern U.S.),Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Rosaceae,Prunus americana,pruame,Tree,0.47,,,1.1981,1.5876,,,0.37,6.83,,cm,g,harvest,cm,,10^(a+b*(log10(DBH))),10^(1.1981+1.5876*(log10(dbh))),E,DBH,,,,1,1.017,,Total aboveground biomass,Species,Prunus serotina,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Rosaceae,Prunus serotina,pruser,Tree,0.47,,,1.1981,1.5876,,,0.37,6.83,,cm,g,harvest,cm,,10^(a+b*(log10(DBH))),10^(1.1981+1.5876*(log10(dbh))),E,DBH,,,,1,1.017,,Total aboveground biomass,Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Rosaceae,Prunus sp.,prusp,Tree,0.47,,,1.1981,1.5876,,,0.37,6.83,,cm,g,harvest,cm,,10^(a+b*(log10(DBH))),10^(1.1981+1.5876*(log10(dbh))),E,DBH,,,,1,1.017,,Total aboveground biomass,Species,Prunus serotina,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Fagaceae,Quercus alba,quealb,Tree,0.6,,,1.5647,2.6887,,,5.08,50.8,29,in,lb,harvest,cm,,a*(DBH^b),1.5647*(dbh^2.6887),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Fagaceae,Quercus marilandica,quemar,Tree,0.56,,,2.4601,2.4572,,,5.08,50.8,,in,lb,harvest,cm,,a*(DBH^b),2.4601*(dbh^2.4572),E,DBH,,,,1,included in model,,Stem and branches (live),Species,Quercus rubra,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Fagaceae,Quercus muehlenbergii,quemue,Tree,0.6,,,1.5647,2.6887,,,5.08,50.8,,in,lb,harvest,cm,,a*(DBH^b),1.5647*(dbh^2.6887),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Fagaceae,Quercus rubra,querub,Tree,0.56,,,2.4601,2.4572,,,5.08,50.8,,in,lb,harvest,cm,,a*(DBH^b),2.4601*(dbh^2.4572),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Fagaceae,Quercus sp.,quesp,Tree,0.6,,,1.5647,2.6887,,,5.08,50.8,,in,lb,harvest,cm,,a*(DBH^b),1.5647*(dbh^2.6887),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Fagaceae,Quercus stellata,queste,Tree,0.6,,,1.5647,2.6887,,,5.08,50.8,,in,lb,harvest,cm,,a*(DBH^b),1.5647*(dbh^2.6887),E,DBH,,,,1,included in model,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Tyson,Fagaceae,Quercus velutina,quevel,Tree,0.56,,species,2.1457,2.503,,,5.08,40.64,19,in,lb,harvest,cm,,a*(DBH^b),2.1457*(dbh^2.503),E,DBH,linear,a+(b*DBH^2); a+(b*DBH+DBH^2),0,0,NRA,"Although there are more sophisticated statistical procedures, models providing the best R^ -values (or r^) were accepted and are given with their standard errors and standard errors as a percent of the W-means.",Whole tree (above stump),Species,,West Virginia,Wiant et al. 1977,,"Clark and Schroeder, 1986",,,,
Tyson,Fagaceae,Quercus velutina,quevel,Tree,0.56,,species,1.3069,1.3593,2,,0.55,7.76,34,cm,g,harvest,cm,,10^(a+b*(log10(DBH^c))),10^(1.3069+1.3593*(log10(dbh^2))),E,DBH,linear,,1,1,1.006,,Total aboveground biomass,Species,,Ohio,Williams and McClenahan 1984,,"Clark and Schroeder, 1986",,,,
Tyson,Fagaceae,Quercus velutina,quevel,Tree,0.56,,species,1.00005,2.10621,,,30.48,88.9,26,in,lb,harvest,cm,,10^(a+b*(log10(DBH))),10^(1.00005+2.10621*(log10(dbh))),E,DBH,linear,,1,0,NRA,,Whole tree (above and belowground),Species,,"North Carolina, Kentucky, Tennessee",Jenkins et al. 2004,,"Clark and Schroeder, 1986",,0,Unable to locate orignal publication,No specific location of sampled trees is given in publication. Geographic area may be too broad.
Tyson,Lauraceae,Sassafras albidum,sasalb,Tree,0.42,,,1.3539,1.3412,2,,0.4,8.49,41,cm,g,harvest,cm,,10^(a+b*(log10(DBH^c))),10^(1.3539+1.3412*(log10(dbh^2))),E,DBH,linear,,1,1,1.004,,Whole tree (above stump),Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,Equation built for seedlings and saplings
